variant,step,fact_id,condition,control,layer,flipped,logit_diff,first_flip_layer,first_positive_diff_layer
final,535,cf_15306,latent,mismatched,5,False,3.6249442100524902,,
final,535,cf_15306,latent,mismatched,6,False,3.815802574157715,,
final,535,cf_15306,latent,mismatched,7,False,4.074309825897217,,
final,535,cf_15306,latent,mismatched,8,False,3.913041114807129,,
final,535,cf_15306,latent,mismatched,9,False,4.0294671058654785,,
final,535,cf_15306,latent,mismatched,10,False,4.10250997543335,,
final,535,cf_15306,latent,mismatched,11,False,4.543219089508057,,
final,535,cf_15306,latent,mismatched,12,False,4.98361349105835,,
final,535,cf_15306,latent,mismatched,13,False,4.823577404022217,,
final,535,cf_15306,latent,mismatched,14,False,4.634937763214111,,
final,535,cf_15306,latent,mismatched,15,False,4.807159900665283,,
final,535,cf_15306,latent,mismatched,16,False,5.2894392013549805,,
final,535,cf_15306,latent,mismatched,17,False,5.4022650718688965,,
final,535,cf_15306,latent,mismatched,18,False,5.414180278778076,,
final,535,cf_15306,latent,mismatched,19,False,5.310636043548584,,
final,535,cf_15306,latent,mismatched,20,False,5.101100444793701,,
